Station,Year,Month,MaxT (Deg.Cel),MinT(Deg.Cel)
Dinajpur (10120),1984,10,31.17,21.44
Dinajpur (10120),1984,11,28.35,14.91
Dinajpur (10120),1984,12,24.78,11.66
Dinajpur (10120),1985,1,24.04,10.69
Dinajpur (10120),1985,2,26.53,12.36
Dinajpur (10120),1985,3,33.02,18.59
Dinajpur (10120),1985,4,34.82,22.67
Dinajpur (10120),1985,5,32.13,23.21
Dinajpur (10120),1985,6,32.15,24.93
Dinajpur (10120),1985,7,30.21,25.25
Dinajpur (10120),1985,8,32.45,26.55
Dinajpur (10120),1985,9,30.96,25.14
Dinajpur (10120),1985,10,30.77,22.74
Dinajpur (10120),1985,11,28.24,15.84
Dinajpur (10120),1985,12,25.63,12.65
Dinajpur (10120),1986,1,24,10.68
Dinajpur (10120),1986,2,26.99,12.43
Dinajpur (10120),1986,3,32.93,16.92
Dinajpur (10120),1986,4,32.51,20.83
Dinajpur (10120),1986,5,31.11,22.46
Dinajpur (10120),1986,6,32.95,25.49
Dinajpur (10120),1986,7,31.45,25.84
Dinajpur (10120),1986,8,32.46,26.07
Dinajpur (10120),1986,9,29.94,24.46
Dinajpur (10120),1986,10,28.75,20.69
Dinajpur (10120),1986,11,28.49,17.35
Dinajpur (10120),1986,12,24.7,12.67
Dinajpur (10120),1987,1,24.12,11.04
Dinajpur (10120),1987,2,27.63,14.26
Dinajpur (10120),1987,3,30.08,17.99
Dinajpur (10120),1987,4,33.18,20.93
Dinajpur (10120),1987,5,33.69,23.06
Dinajpur (10120),1987,6,32.82,25.68
Dinajpur (10120),1987,7,30.01,25.5
Dinajpur (10120),1987,8,30.38,25.49
Dinajpur (10120),1987,9,30.92,25.41
Dinajpur (10120),1987,10,30.89,22.89
Dinajpur (10120),1987,11,28.44,17.44
Dinajpur (10120),1987,12,25.96,13.07
Dinajpur (10120),1988,1,24.78,11.65
Dinajpur (10120),1988,2,27.92,14.2
Dinajpur (10120),1988,3,30.87,17.9
Dinajpur (10120),1988,4,33.4,21.4
Dinajpur (10120),1988,5,31.76,23.63
Dinajpur (10120),1988,6,31.6,25.32
Dinajpur (10120),1988,7,31.85,26.34
Dinajpur (10120),1988,8,31.11,25.64
Dinajpur (10120),1988,9,32.04,25.57
Dinajpur (10120),1988,10,31.49,22.24
Dinajpur (10120),1988,11,28.78,16.23
Dinajpur (10120),1988,12,26.46,13.16
Dinajpur (10120),1989,1,23.12,9.55
Dinajpur (10120),1989,2,25.93,11.93
Dinajpur (10120),1989,3,31.05,16.34
Dinajpur (10120),1989,4,36.18,21.48
Dinajpur (10120),1989,5,33.44,23.34
Dinajpur (10120),1989,6,32.18,25.43
Dinajpur (10120),1989,7,31,25.4
Dinajpur (10120),1989,8,32.05,25.85
Dinajpur (10120),1989,9,30.4,24.71
Dinajpur (10120),1989,10,31.42,22.81
Dinajpur (10120),1989,11,28.53,15.83
Dinajpur (10120),1989,12,24.05,10.78
Dinajpur (10120),1990,1,24.08,11.3
Dinajpur (10120),1990,2,26.08,13.74
Dinajpur (10120),1990,3,28.95,16.48
Dinajpur (10120),1990,4,30.57,20.84
Dinajpur (10120),1990,5,32.09,23.7
Dinajpur (10120),1990,6,32.5,25.67
Dinajpur (10120),1990,7,31.65,25.88
Dinajpur (10120),1990,8,32.67,26.22
Dinajpur (10120),1990,9,31.66,25.16
Dinajpur (10120),1990,10,29.1,20.91
Dinajpur (10120),1990,11,30.05,16.89
Dinajpur (10120),1990,12,26.44,11.69
Dinajpur (10120),1991,1,23.2,9.95
Dinajpur (10120),1991,2,28.13,13.53
Dinajpur (10120),1991,3,32.22,17.15
Dinajpur (10120),1991,4,34.16,20.83
Dinajpur (10120),1991,5,30.27,22.65
Dinajpur (10120),1991,6,31.99,25.2
Dinajpur (10120),1991,7,32.12,26.31
Dinajpur (10120),1991,8,32.27,26.18
Dinajpur (10120),1991,9,30.59,25.09
Dinajpur (10120),1991,10,31.01,22.01
Dinajpur (10120),1991,11,28.61,15.1
Dinajpur (10120),1991,12,24.05,11.76
Dinajpur (10120),1992,1,23.25,10.49
Dinajpur (10120),1992,2,24.49,10.9
Dinajpur (10120),1992,3,31.83,17.22
Dinajpur (10120),1992,4,35.55,21.33
Dinajpur (10120),1992,5,32.35,22.23
Dinajpur (10120),1992,6,33.6,25.18
Dinajpur (10120),1992,7,31.57,24.98
Dinajpur (10120),1992,8,32.44,25.69
Dinajpur (10120),1992,9,32.14,24.67
Dinajpur (10120),1992,10,30.66,21.5
Dinajpur (10120),1992,11,28.98,15.27
Dinajpur (10120),1992,12,24.75,10.8
Dinajpur (10120),1993,1,20.72,9.39
Dinajpur (10120),1993,2,27.21,13.45
Dinajpur (10120),1993,3,29.9,15.99
Dinajpur (10120),1993,4,32.27,20.04
Dinajpur (10120),1993,5,30.87,22.67
Dinajpur (10120),1993,6,32.08,24.99
Dinajpur (10120),1993,7,32.59,26.59
Dinajpur (10120),1993,8,31.72,26.14
Dinajpur (10120),1993,9,31.55,25.09
Dinajpur (10120),1993,10,31.62,22.61
Dinajpur (10120),1993,11,29.03,17.52
Dinajpur (10120),1993,12,27.09,12.84
Dinajpur (10120),1994,1,24.59,12.25
Dinajpur (10120),1994,2,25.29,12.46
Dinajpur (10120),1994,3,31.09,17.27
Dinajpur (10120),1994,4,34.64,21.15
Dinajpur (10120),1994,5,34.48,24.09
Dinajpur (10120),1994,6,32.18,25.62
Dinajpur (10120),1994,7,33.23,26.19
Dinajpur (10120),1994,8,33.57,26.46
Dinajpur (10120),1994,9,32.35,24.96
Dinajpur (10120),1994,10,31.23,21.26
Dinajpur (10120),1994,11,28.77,15.7
Dinajpur (10120),1994,12,25.81,10.54
Dinajpur (10120),1995,1,23.64,8.8
Dinajpur (10120),1995,2,26.64,11.83
Dinajpur (10120),1995,3,31.76,16.8
Dinajpur (10120),1995,4,35.76,21.44
Dinajpur (10120),1995,5,35.75,25.19
Dinajpur (10120),1995,6,32.64,26.01
Dinajpur (10120),1995,7,31.38,25.44
Dinajpur (10120),1995,8,32.04,25.52
Dinajpur (10120),1995,9,31.14,24.62
Dinajpur (10120),1995,10,31.83,22.27
Dinajpur (10120),1995,11,28.55,17.2
Dinajpur (10120),1995,12,25.23,12.28
Dinajpur (10120),1996,1,22.76,10.68
Dinajpur (10120),1996,2,27.21,13.38
Dinajpur (10120),1996,3,32.24,18.13
Dinajpur (10120),1996,4,35.34,20.49
Dinajpur (10120),1996,5,34.15,23.36
Dinajpur (10120),1996,6,31.78,25.02
Dinajpur (10120),1996,7,31.96,26.31
Dinajpur (10120),1996,8,32.19,26.36
Dinajpur (10120),1996,9,32.35,25.7
Dinajpur (10120),1996,10,30.93,22.11
Dinajpur (10120),1996,11,29.2,15.89
Dinajpur (10120),1996,12,26.32,11.13
Dinajpur (10120),1997,1,23.72,9.6
Dinajpur (10120),1997,2,25.22,11.43
Dinajpur (10120),1997,3,31.71,17.74
Dinajpur (10120),1997,4,31.01,20.18
Dinajpur (10120),1997,5,34.66,23.33
Dinajpur (10120),1997,6,33.83,25.21
Dinajpur (10120),1997,7,32.43,26.29
Dinajpur (10120),1997,8,32.78,26.43
Dinajpur (10120),1997,9,31.35,25.27
Dinajpur (10120),1997,10,31.07,20.87
Dinajpur (10120),1997,11,29.13,17.26
Dinajpur (10120),1997,12,23.1,12.91
Dinajpur (10120),1998,1,20.25,9.84
Dinajpur (10120),1998,2,27.13,13.31
Dinajpur (10120),1998,3,28.85,16.3
Dinajpur (10120),1998,4,31.77,21.01
Dinajpur (10120),1998,5,33.03,24.55
Dinajpur (10120),1998,6,33.87,26.95
Dinajpur (10120),1998,7,32.01,26.32
Dinajpur (10120),1998,8,31.52,26.48
Dinajpur (10120),1998,9,32.14,25.7
Dinajpur (10120),1998,10,31.47,24.26
