Station,Year,Month,MaxT (Deg.Cel),MinT(Deg.Cel)
Jessore (11407),2010,3,35.84,21.78
Jessore (11407),2010,4,37.62,26.23
Jessore (11407),2010,5,35.68,25.6
Jessore (11407),2010,6,34.67,26.56
Jessore (11407),2010,7,33.95,26.69
Jessore (11407),2010,8,34.12,26.46
Jessore (11407),2010,9,33.79,25.69
Jessore (11407),2010,10,33.19,23.78
Jessore (11407),2010,11,31.41,18.93
Jessore (11407),2010,12,26.31,11.78
Jessore (11407),2011,1,24.82,9.31
Jessore (11407),2011,2,29.56,14
Jessore (11407),2011,3,33.48,19.21
Jessore (11407),2011,4,35.05,22.42
Jessore (11407),2011,5,35.44,25
Jessore (11407),2011,6,34.23,26.08
Jessore (11407),2011,7,33.19,26.24
Jessore (11407),2011,8,31.97,25.95
Jessore (11407),2011,9,32.71,25.57
Jessore (11407),2011,10,34.05,23.25
Jessore (11407),2011,11,30.72,16.71
Jessore (11407),2011,12,26.09,12.1
Jessore (11407),2012,1,24.75,11.79
Jessore (11407),2012,2,29.48,13.16
Jessore (11407),2012,3,34.6,19.73
Jessore (11407),2012,4,35.33,23.31
Jessore (11407),2012,5,37.64,25.78
Jessore (11407),2012,6,36.1,27.16
Jessore (11407),2012,7,33.07,26.73
Jessore (11407),2012,8,33.17,26.38
Jessore (11407),2012,9,33.5,25.91
Jessore (11407),2012,10,33.07,22.15
Jessore (11407),2012,11,29.41,16.79
Jessore (11407),2012,12,25.36,11.96
Jessore (11407),2013,1,24.77,9.34
Jessore (11407),2013,2,29.15,13.57
Jessore (11407),2013,3,34.46,19.62
Jessore (11407),2013,4,35.93,23.56
Jessore (11407),2013,5,33.87,25.27
Jessore (11407),2013,6,34.01,26.48
Jessore (11407),2013,7,33.17,26.5
Jessore (11407),2013,8,32.91,25.99
Jessore (11407),2013,9,33.33,25.89
Jessore (11407),2013,10,31.86,23.93
Jessore (11407),2013,11,30.74,16.07
Jessore (11407),2013,12,27.17,13.08
Jessore (11407),2014,1,24.04,10.97
Jessore (11407),2014,2,28.04,13.59
Jessore (11407),2014,3,33.38,18.42
Jessore (11407),2014,4,38.03,24.27
Jessore (11407),2014,5,37.52,26.04
Jessore (11407),2014,6,34.21,26.45
Jessore (11407),2014,7,32.94,26.68
Jessore (11407),2014,8,33.47,26.33
Jessore (11407),2014,9,33.54,25.71
Jessore (11407),2014,10,32.78,22.52
Jessore (11407),2014,11,31.03,15.91
Jessore (11407),2014,12,25.86,11.7
Jessore (11407),2015,1,25.5,12
Jessore (11407),2015,2,29.26,15.38
Jessore (11407),2015,3,33.03,18.63
Jessore (11407),2015,4,34.22,23.27
Jessore (11407),2015,5,36.36,25.99
Jessore (11407),2015,6,34.31,26.68
Jessore (11407),2015,7,32.36,25.79
Jessore (11407),2015,8,33.17,26.81
Jessore (11407),2015,9,34.04,26.23
Jessore (11407),2015,10,33.58,23.37
Jessore (11407),2015,11,31.33,17.94
Jessore (11407),2015,12,26.65,13.87
Jessore (11407),2016,1,25.61,11.03
Jessore (11407),2016,2,30.5,17.61
Jessore (11407),2016,3,34.46,21.08
Jessore (11407),2016,4,37.42,25.77
Jessore (11407),2016,5,35.67,25.02
Jessore (11407),2016,6,34.32,26.07
Jessore (11407),2016,7,32.82,26.12
Jessore (11407),2016,8,32.92,26.5
Jessore (11407),2016,9,33.21,26.51
Jessore (11407),2016,10,33.85,24.08
Jessore (11407),2016,11,29.85,17.46
Jessore (11407),2016,12,27.22,13.3
Jessore (11407),2017,1,26.38,11.21
Jessore (11407),2017,2,30.07,14.72
Jessore (11407),2017,3,32.55,19.28
Jessore (11407),2017,4,35.69,24.23
Jessore (11407),2017,5,36.11,25.89
Jessore (11407),2017,6,34.63,26.27
Jessore (11407),2017,7,32.41,26.28
Jessore (11407),2017,8,33.54,26.91
Jessore (11407),2017,9,34.62,26.63
Jessore (11407),2017,10,32.42,24.57
Jessore (11407),2017,11,30.43,17.57
Jessore (11407),2017,12,27.06,13.55
Jessore (11407),2018,1,24.35,8.94
Jessore (11407),2018,2,30.31,15.43
Jessore (11407),2018,3,34.58,20.59
Jessore (11407),2018,4,34.87,22.67
Jessore (11407),2018,5,34.15,24.3
Jessore (11407),2018,6,35.12,26.35
Jessore (11407),2018,7,33.53,26.61
Jessore (11407),2018,8,33.88,26.7
Jessore (11407),2018,9,34.63,26.04
Jessore (11407),2018,10,32.99,21.84
Jessore (11407),2018,11,30.99,16.76
Jessore (11407),2018,12,26.05,12
Jessore (11407),2019,1,26.85,12.85
Jessore (11407),2019,2,28.88,13.88
Jessore (11407),2019,3,32.19,19.28
Jessore (11407),2019,4,34.87,23.38
Jessore (11407),2019,5,36.65,26.19
Jessore (11407),2019,6,36.03,26.59
Jessore (11407),2019,7,34.51,26.99
Jessore (11407),2019,8,33.68,26.7
Jessore (11407),2019,9,33.15,26.13
Jessore (11407),2019,10,32.27,23.62
Jessore (11407),2019,11,30.41,18.76
Jessore (11407),2019,12,25.47,12.65
Jessore (11407),2020,1,24.86,11.29
Jessore (11407),2020,2,27.46,13.22
Jessore (11407),2020,3,32.56,18.69
Jessore (11407),2020,4,34.95,22.49
Jessore (11407),2020,5,34.52,24.46
Jessore (11407),2020,6,34.48,26.05
Jessore (11407),2020,7,34.52,26.68
Jessore (11407),2020,8,33.45,26.76
Jessore (11407),2020,9,34.09,26.64
Jessore (11407),2020,10,33.52,25.26
Jessore (11407),2020,11,30.62,17.97
Jessore (11407),2020,12,26.53,12.95
Jessore (11407),2021,1,26.02,12.35
Jessore (11407),2021,2,29.89,14.23
Jessore (11407),2021,3,35.25,20.85
Jessore (11407),2021,4,36.98,23.91
Jessore (11407),2021,5,35.62,25.09
Jessore (11407),2021,6,33.51,25.89
Jessore (11407),2021,7,33.73,26.37
Jessore (11407),2021,8,33.77,26.79
Jessore (11407),2021,9,33.33,25.85
Jessore (11407),2021,10,33.71,24.45
Jessore (11407),2021,11,29.82,17.33
Jessore (11407),2021,12,26.09,14.18
Jessore (11407),2022,1,24.61,12.54
Jessore (11407),2022,2,27.59,13.74
Jessore (11407),2022,3,34.05,20.12
Jessore (11407),2022,4,35.78,25.79
Jessore (11407),2022,5,34.97,25.21
Jessore (11407),2022,6,34.77,26.91
Jessore (11407),2022,7,34.54,26.39
Jessore (11407),2022,8,33.85,26.25
Jessore (11407),2022,9,33.76,25.56
Jessore (11407),2022,10,32.83,22.62
Jessore (11407),2022,11,30.92,16.27
Jessore (11407),2022,12,27.86,13.25
Khulna (11604),1970,1,27.02,14.28
Khulna (11604),1970,2,30.17,16.85
Khulna (11604),1970,3,33.4,21.87
Khulna (11604),1970,4,35.37,25.58
Khulna (11604),1970,5,35.38,26.48
Khulna (11604),1970,6,32.55,26.53
Khulna (11604),1970,7,31.83,26.35
Khulna (11604),1970,8,31.72,26.21
Khulna (11604),1970,9,32.34,26.33
Khulna (11604),1970,10,32.41,24.81
Khulna (11604),1970,11,31.2,19.66
Khulna (11604),1970,12,28.8,14.3
Khulna (11604),1971,1,26.04,12.9
Khulna (11604),1971,2,29.02,15.84
Khulna (11604),1971,3,34.2,20.6
Khulna (11604),1971,4,34.65,24.11
Khulna (11604),1971,5,34.15,25.42
Khulna (11604),1971,6,31.66,25.79
Khulna (11604),1971,7,31.25,25.82
Khulna (11604),1971,8,30.68,25.5
Khulna (11604),1971,9,33.22,26.38
Khulna (11604),1971,10,32.66,24.49
Khulna (11604),1971,11,29.43,19.55
Khulna (11604),1971,12,26.93,14.3
Khulna (11604),1972,1,27.42,13.73
Khulna (11604),1972,2,28.16,15.58
Khulna (11604),1972,3,34.27,21.66
Khulna (11604),1972,4,35.47,24.01
Khulna (11604),1972,5,35.85,26.96
Khulna (11604),1972,6,32.66,26.13
Khulna (11604),1972,7,32.97,26.5
Khulna (11604),1972,8,31.68,26.19
Khulna (11604),1972,9,32.14,25.91
Khulna (11604),1972,10,31.74,24.1
Khulna (11604),1972,11,29.71,19.49
Khulna (11604),1972,12,26.78,14.32
Khulna (11604),1973,1,26.04,12.9
Khulna (11604),1973,2,29.02,15.84
Khulna (11604),1973,3,33.26,20.72
Khulna (11604),1973,4,34.97,24.11
Khulna (11604),1973,5,34.37,25.42
Khulna (11604),1973,6,32.96,26.13
Khulna (11604),1973,7,31.11,26.06
Khulna (11604),1973,8,31.46,26.19
Khulna (11604),1973,9,32.01,25.91
Khulna (11604),1973,10,31.74,24.1
Khulna (11604),1973,11,29.71,19.49
Khulna (11604),1973,12,26.76,14.33
Khulna (11604),1974,1,25.98,13.05
Khulna (11604),1974,2,28.91,15.31
Khulna (11604),1974,3,32.59,21.28
Khulna (11604),1974,4,33.83,24.55
Khulna (11604),1974,5,33.75,25.44
Khulna (11604),1974,6,32.65,25.98
Khulna (11604),1974,7,30.75,25.46
Khulna (11604),1974,8,31.52,26.39
Khulna (11604),1974,9,30.64,25.06
Khulna (11604),1974,10,31.47,25.2
Khulna (11604),1974,11,29.53,21.03
Khulna (11604),1974,12,25.33,13.85
Khulna (11604),1975,1,26.04,12.9
Khulna (11604),1975,2,29.02,15.84
Khulna (11604),1975,3,33.26,20.72
Khulna (11604),1975,4,34.65,24.11
Khulna (11604),1975,5,34.41,25.42
Khulna (11604),1975,6,32.66,26.13
Khulna (11604),1975,7,31.6,26.06
Khulna (11604),1975,8,31.68,26.19
Khulna (11604),1975,9,32.14,25.91
Khulna (11604),1975,10,31.74,24.1
Khulna (11604),1975,11,29.71,19.49
Khulna (11604),1975,12,26.78,14.32
Khulna (11604),1976,1,26.4,13.61
Khulna (11604),1976,2,28.76,17
Khulna (11604),1976,3,33.54,22.15
Khulna (11604),1976,4,34.97,24.11
Khulna (11604),1976,5,33.48,24.89
Khulna (11604),1976,6,33.04,25.81
Khulna (11604),1976,7,31.49,25.92
Khulna (11604),1976,8,30.58,25.45
Khulna (11604),1976,9,31.87,25.72
Khulna (11604),1976,10,32.37,24.26
Khulna (11604),1976,11,30.91,22.01
Khulna (11604),1976,12,26.84,14.86
Khulna (11604),1977,1,25.65,13.46
Khulna (11604),1977,2,29.26,15.38
Khulna (11604),1977,3,34.29,22.42
Khulna (11604),1977,4,33.55,23.96
Khulna (11604),1977,5,32.94,24.41
Khulna (11604),1977,6,31.63,26.06
Khulna (11604),1977,7,31.6,26.06
Khulna (11604),1977,8,31.9,26.34
Khulna (11604),1977,9,32.46,26.31
Khulna (11604),1977,10,31.74,24.1
Khulna (11604),1977,11,29.25,20.84
Khulna (11604),1977,12,26.06,15.23
Khulna (11604),1978,1,24.67,12.22
Khulna (11604),1978,2,28.16,16.16
Khulna (11604),1978,3,32.88,19.06
Khulna (11604),1978,4,34.64,23.24
Khulna (11604),1978,5,34.23,24.96
Khulna (11604),1978,6,32.38,26.54
Khulna (11604),1978,7,31.54,25.42
Khulna (11604),1978,8,31.33,26.59
Khulna (11604),1978,9,31.33,25.71
Khulna (11604),1978,10,32,25.16
Khulna (11604),1978,11,30.97,21.3
Khulna (11604),1978,12,26.81,15.36
Khulna (11604),1979,1,26.23,15.08
Khulna (11604),1979,2,27.28,15.65
Khulna (11604),1979,3,33.43,21.05
Khulna (11604),1979,4,34.6,24.18
Khulna (11604),1979,5,35.64,26.55
Khulna (11604),1979,6,32.63,26.64
Khulna (11604),1979,7,32.53,26.58
Khulna (11604),1979,8,31.82,26.61
Khulna (11604),1979,9,32.76,26.02
Khulna (11604),1979,10,32.45,24.97
Khulna (11604),1979,11,31.81,23.01
Khulna (11604),1979,12,26.03,16.56
Khulna (11604),1980,1,25.52,14.66
Khulna (11604),1980,2,27.05,16.56
Khulna (11604),1980,3,32.3,21.79
Khulna (11604),1980,4,35.5,26.13
Khulna (11604),1980,5,33.68,25.17
Khulna (11604),1980,6,32.38,26.59
Khulna (11604),1980,7,30.85,26.14
Khulna (11604),1980,8,31.39,26.61
Khulna (11604),1980,9,31.76,26.6
Khulna (11604),1980,10,30.78,24.02
Khulna (11604),1980,11,28.76,18.77
Khulna (11604),1980,12,25.82,13.95
Khulna (11604),1981,1,24.57,12.62
Khulna (11604),1981,2,27.87,15.62
Khulna (11604),1981,3,30.94,19.56
Khulna (11604),1981,4,31.13,22.82
Khulna (11604),1981,5,32.13,24.54
Khulna (11604),1981,6,32.19,26.3
Khulna (11604),1981,7,30.56,25.98
Khulna (11604),1981,8,31.61,26.7
Khulna (11604),1981,9,31.31,26.38
Khulna (11604),1981,10,32.45,24.33
Khulna (11604),1981,11,29.55,18.27
Khulna (11604),1981,12,24.33,13.56
Khulna (11604),1982,1,26.35,12.6
Khulna (11604),1982,2,27.59,15.85
Khulna (11604),1982,3,30.89,19.41
Khulna (11604),1982,4,33.76,23.49
Khulna (11604),1982,5,35.51,25.89
Khulna (11604),1982,6,32.3,26.05
Khulna (11604),1982,7,32.11,26.95
Khulna (11604),1982,8,30.31,26.08
Khulna (11604),1982,9,31.83,25.83
Khulna (11604),1982,10,31.88,24.32
Khulna (11604),1982,11,28.14,18.49
Khulna (11604),1982,12,25.85,12.48
Khulna (11604),1983,1,24.94,12.4
Khulna (11604),1983,2,26.67,14.91
Khulna (11604),1983,3,31.56,21.43
Khulna (11604),1983,4,34.28,23.16
Khulna (11604),1983,5,33.83,24.19
Khulna (11604),1983,6,33.14,25.93
Khulna (11604),1983,7,31.39,25.98
Khulna (11604),1983,8,30.87,26.3
Khulna (11604),1983,9,31.16,26.01
Khulna (11604),1983,10,30.91,23.69
Khulna (11604),1983,11,29.51,18.55
Khulna (11604),1983,12,24.34,12.44
Khulna (11604),1984,1,24.94,11.72
Khulna (11604),1984,2,27.34,13.17
Khulna (11604),1984,3,34.55,18.97
Khulna (11604),1984,4,35.06,23.79
Khulna (11604),1984,5,33.8,25.6
Khulna (11604),1984,6,31.13,25.66
Khulna (11604),1984,7,31.18,26
Khulna (11604),1984,8,31.53,26.13
Khulna (11604),1984,9,31.88,25.32
Khulna (11604),1984,10,32.1,24.51
Khulna (11604),1984,11,29.3,16.66
Khulna (11604),1984,12,26.54,12.73
Khulna (11604),1985,1,26.25,13
Khulna (11604),1985,2,28.86,13.76
Khulna (11604),1985,3,34.6,22.2
Khulna (11604),1985,4,35.33,24.88
Khulna (11604),1985,5,34.13,24.56
Khulna (11604),1985,6,33.19,26.2
Khulna (11604),1985,7,31.24,25.69
Khulna (11604),1985,8,31.85,26.42
Khulna (11604),1985,9,32.07,26.05
Khulna (11604),1985,10,31.93,23.62
Khulna (11604),1985,11,29.69,17.83
Khulna (11604),1985,12,27.44,13.13
Khulna (11604),1986,1,25.67,11.35
Khulna (11604),1986,2,29.46,14.47
Khulna (11604),1986,3,35.24,19.24
Khulna (11604),1986,4,34.81,23.39
Khulna (11604),1986,5,34.27,23.75
Khulna (11604),1986,6,33.76,26.12
Khulna (11604),1986,7,31.81,25.46
Khulna (11604),1986,8,32.95,25.5
Khulna (11604),1986,9,31.49,25.01
Khulna (11604),1986,10,31.23,22.95
Khulna (11604),1986,11,29.42,20.31
Khulna (11604),1986,12,26.57,14.65
Khulna (11604),1987,1,25.79,11.67
Khulna (11604),1987,2,29.86,14.78
Khulna (11604),1987,3,33.21,19.54
Khulna (11604),1987,4,35.02,23.35
Khulna (11604),1987,5,35.69,24.35
Khulna (11604),1987,6,34.72,26.59
Khulna (11604),1987,7,31.95,25.53
Khulna (11604),1987,8,32.71,25.65
Khulna (11604),1987,9,32.95,25.45
Khulna (11604),1987,10,33.03,23.6
Khulna (11604),1987,11,29.83,20.09
Khulna (11604),1987,12,26.75,14.84
Khulna (11604),1988,1,26.45,12.4
Khulna (11604),1988,2,30.01,15.73
Khulna (11604),1988,3,33.25,20.49
Khulna (11604),1988,4,35.52,24.22
Khulna (11604),1988,5,33.62,25.72
Khulna (11604),1988,6,32.05,26.15
Khulna (11604),1988,7,32.01,26.36
Khulna (11604),1988,8,31.78,26.54
Khulna (11604),1988,9,33.3,26.36
Khulna (11604),1988,10,32.01,23.56
Khulna (11604),1988,11,29.78,18.99
Khulna (11604),1988,12,26.6,15.67
Khulna (11604),1989,1,24.39,9.96
Khulna (11604),1989,2,28.9,14.39
Khulna (11604),1989,3,33.47,18.95
Khulna (11604),1989,4,35.74,24.54
Khulna (11604),1989,5,34.7,25.65
Khulna (11604),1989,6,33.13,25.91
Khulna (11604),1989,7,31.99,26.2
Khulna (11604),1989,8,32.37,26.56
Khulna (11604),1989,9,32.24,26.07
Khulna (11604),1989,10,31.46,24.69
Khulna (11604),1989,11,29.93,18.54
Khulna (11604),1989,12,26.28,12.63
Khulna (11604),1990,1,26.43,11.6
Khulna (11604),1990,2,28.73,16.2
Khulna (11604),1990,3,29.84,18.95
Khulna (11604),1990,4,33.73,23.61
Khulna (11604),1990,5,34.3,24.78
Khulna (11604),1990,6,33.35,26.56
Khulna (11604),1990,7,32.01,25.99
Khulna (11604),1990,8,32.65,26.47
Khulna (11604),1990,9,32.56,26.06
Khulna (11604),1990,10,30.49,23.26
Khulna (11604),1990,11,29.86,20.08
Khulna (11604),1990,12,27.11,13.21
Khulna (11604),1991,1,24.71,11.91
Khulna (11604),1991,2,29.81,16.44
Khulna (11604),1991,3,33.47,21.47
Khulna (11604),1991,4,34.76,24.42
Khulna (11604),1991,5,34.28,25.85
Khulna (11604),1991,6,32.7,25.83
Khulna (11604),1991,7,32.21,26.49
Khulna (11604),1991,8,32.11,26.47
Khulna (11604),1991,9,32.31,25.89
Khulna (11604),1991,10,31.48,23.98
Khulna (11604),1991,11,28.78,17.89
Khulna (11604),1991,12,25.78,13.49
Khulna (11604),1992,1,24.7,10.75
Khulna (11604),1992,2,26.61,15.04
Khulna (11604),1992,3,33.1,21.26
Khulna (11604),1992,4,36.48,23.97
Khulna (11604),1992,5,34.3,23.57
Khulna (11604),1992,6,34.24,25.31
Khulna (11604),1992,7,31.86,25.07
Khulna (11604),1992,8,32.28,25.82
Khulna (11604),1992,9,32.21,25.58
Khulna (11604),1992,10,32.3,24.11
Khulna (11604),1992,11,29.58,19.13
Khulna (11604),1992,12,26.25,12.55
Khulna (11604),1993,1,25.62,11.91
Khulna (11604),1993,2,29.51,16.17
Khulna (11604),1993,3,31.56,18.16
Khulna (11604),1993,4,34.4,23.27
Khulna (11604),1993,5,33.6,24.75
Khulna (11604),1993,6,32.36,25.81
Khulna (11604),1993,7,31.98,26.62
Khulna (11604),1993,8,31.73,26.53
Khulna (11604),1993,9,31.52,25.58
Khulna (11604),1993,10,32.4,24.27
Khulna (11604),1993,11,30.27,19.32
Khulna (11604),1993,12,27.33,14.06
Khulna (11604),1994,1,26.37,12.13
Khulna (11604),1994,2,27.26,14.44
Khulna (11604),1994,3,33.88,21.05
Khulna (11604),1994,4,34.76,23.05
Khulna (11604),1994,5,35.07,25.41
Khulna (11604),1994,6,32.54,26.55
Khulna (11604),1994,7,32.56,26.45
Khulna (11604),1994,8,31.69,26.33
Khulna (11604),1994,9,32.89,26.05
Khulna (11604),1994,10,32.77,24.32
Khulna (11604),1994,11,29.56,19.58
Khulna (11604),1994,12,27.15,13.07
Khulna (11604),1995,1,24.6,11.25
Khulna (11604),1995,2,28.35,15.29
Khulna (11604),1995,3,33.47,19.36
Khulna (11604),1995,4,36.4,24.68
Khulna (11604),1995,5,34.86,26.71
Khulna (11604),1995,6,33.09,26.69
Khulna (11604),1995,7,32.04,26.22
Khulna (11604),1995,8,32.39,26
Khulna (11604),1995,9,32.09,25.64
Khulna (11604),1995,10,32.86,23.21
Khulna (11604),1995,11,29.22,19.14
Khulna (11604),1995,12,27.16,13.54
Khulna (11604),1996,1,26.02,12.6
Khulna (11604),1996,2,29.47,13.92
Khulna (11604),1996,3,34.48,22.18
Khulna (11604),1996,4,35.09,23.57
Khulna (11604),1996,5,35.64,25.66
Khulna (11604),1996,6,32.93,25.16
Khulna (11604),1996,7,32.84,26.19
Khulna (11604),1996,8,31.05,25.67
Khulna (11604),1996,9,33.42,26.14
Khulna (11604),1996,10,32.05,23.21
Khulna (11604),1996,11,30.18,18.58
Khulna (11604),1996,12,26.95,13.03
Khulna (11604),1997,1,25.41,10.97
Khulna (11604),1997,2,28.04,14.7
Khulna (11604),1997,3,33.07,20.81
Khulna (11604),1997,4,32.14,21.5
Khulna (11604),1997,5,34.35,24.31
Khulna (11604),1997,6,33.71,25.48
Khulna (11604),1997,7,32.08,25.88
Khulna (11604),1997,8,32.19,26.01
Khulna (11604),1997,9,32.04,25.26
Khulna (11604),1997,10,32.25,22.66
Khulna (11604),1997,11,31.28,20.03
Khulna (11604),1997,12,25.44,13.76
Khulna (11604),1998,1,23.28,11.96
Khulna (11604),1998,2,28.29,16.51
Khulna (11604),1998,3,30.63,19
Khulna (11604),1998,4,33.65,23.45
Khulna (11604),1998,5,34.6,26.08
Khulna (11604),1998,6,34.14,27.57
Khulna (11604),1998,7,32.27,26.58
Khulna (11604),1998,8,31.87,26.44
Khulna (11604),1998,9,32.67,26.16
Khulna (11604),1998,10,33.18,25.24
Khulna (11604),1998,11,30.81,21.18
Khulna (11604),1998,12,27.95,14.99
Khulna (11604),1999,1,26.53,12.47
Khulna (11604),1999,2,30.39,15.8
Khulna (11604),1999,3,34.76,21.09
Khulna (11604),1999,4,35.53,25.91
Khulna (11604),1999,5,33.99,25.42
Khulna (11604),1999,6,32.93,26.01
Khulna (11604),1999,7,31.73,25.75
Khulna (11604),1999,8,32.05,26.06
Khulna (11604),1999,9,31.98,25.76
Khulna (11604),1999,10,32.13,24.6
Khulna (11604),1999,11,30.85,19.21
Khulna (11604),1999,12,28.4,14.58
Khulna (11604),2000,1,26.68,12.28
Khulna (11604),2000,2,27.44,15.22
Khulna (11604),2000,3,32.95,19.9
Khulna (11604),2000,4,34.52,23.82
Khulna (11604),2000,5,34.57,24.57
Khulna (11604),2000,6,33.3,25.49
Khulna (11604),2000,7,32.29,25.43
Khulna (11604),2000,8,33.13,25.67
Khulna (11604),2000,9,32.67,24.82
Khulna (11604),2000,10,32.65,24.68
Khulna (11604),2000,11,31.16,20.26
Khulna (11604),2000,12,27.43,13.37
Khulna (11604),2001,1,25.85,11
Khulna (11604),2001,2,29.88,15.88
Khulna (11604),2001,3,33.22,20.23
Khulna (11604),2001,4,35.18,24.6
Khulna (11604),2001,5,34.42,24.72
Khulna (11604),2001,6,31.46,25.91
Khulna (11604),2001,7,31.56,26.27
Khulna (11604),2001,8,33.1,27.06
Khulna (11604),2001,9,32.93,26.41
Khulna (11604),2001,10,32.9,25.08
Khulna (11604),2001,11,30.19,21.39
Khulna (11604),2001,12,26.93,13.88
Khulna (11604),2002,1,26.3,13.68
Khulna (11604),2002,2,29.63,15.3
Khulna (11604),2002,3,33.28,20.73
Khulna (11604),2002,4,33.74,23.86
Khulna (11604),2002,5,34.65,25.35
Khulna (11604),2002,6,32.8,25.41
Khulna (11604),2002,7,33.31,27.1
Khulna (11604),2002,8,32.15,26.14
Khulna (11604),2002,9,32.67,25.87
Khulna (11604),2002,10,32.71,24.15
Khulna (11604),2002,11,30.09,19.81
Khulna (11604),2002,12,27.47,15.25
Khulna (11604),2003,1,23.95,11.08
Khulna (11604),2003,2,29.5,16.74
Khulna (11604),2003,3,31.46,19.63
Khulna (11604),2003,4,35.08,25.48
Khulna (11604),2003,5,35.67,26
Khulna (11604),2003,6,32.89,26.24
Khulna (11604),2003,7,32.66,26.55
Khulna (11604),2003,8,32.91,26.68
Khulna (11604),2003,9,32.89,26.33
Khulna (11604),2003,10,32.33,25.02
Khulna (11604),2003,11,30.51,19.03
Khulna (11604),2003,12,25.92,15.4
Khulna (11604),2004,1,23.85,13.19
Khulna (11604),2004,2,28.74,15.66
Khulna (11604),2004,3,33.03,21.85
Khulna (11604),2004,4,33.87,24.94
Khulna (11604),2004,5,35.84,26.15
Khulna (11604),2004,6,33.16,26.19
Khulna (11604),2004,7,32.15,26.43
Khulna (11604),2004,8,32,26.49
Khulna (11604),2004,9,31.84,26.25
Khulna (11604),2004,10,31.46,23.7
Khulna (11604),2004,11,29.66,18.61
Khulna (11604),2004,12,27.24,15.76
Khulna (11604),2005,1,25.2,13.49
Khulna (11604),2005,2,30,17.34
Khulna (11604),2005,3,32.64,22.11
Khulna (11604),2005,4,34.93,25.2
Khulna (11604),2005,5,35.14,25.89
Khulna (11604),2005,6,34.89,27.3
Khulna (11604),2005,7,31.53,26.28
Khulna (11604),2005,8,32.41,26.92
Khulna (11604),2005,9,32.69,26.27
Khulna (11604),2005,10,30.85,24.69
Khulna (11604),2005,11,29,18.98
Khulna (11604),2005,12,26.75,14.8
Khulna (11604),2006,1,25.9,12.82
Khulna (11604),2006,2,31.85,18.81
Khulna (11604),2006,3,33.25,21.09
Khulna (11604),2006,4,34.99,24.93
Khulna (11604),2006,5,34.56,25.67
Khulna (11604),2006,6,33.61,26.87
Khulna (11604),2006,7,32.39,26.39
Khulna (11604),2006,8,32.22,26.01
Khulna (11604),2006,9,32.42,26.02
Khulna (11604),2006,10,32.42,24.89
Khulna (11604),2006,11,29.56,20.09
Khulna (11604),2006,12,26.93,15.04
Khulna (11604),2007,1,24.94,12.25
Khulna (11604),2007,2,27.65,16.95
Khulna (11604),2007,3,31.6,19.65
Khulna (11604),2007,4,34.61,24.39
Khulna (11604),2007,5,35.38,25.86
Khulna (11604),2007,6,33.61,26.32
Khulna (11604),2007,7,31.35,26.35
Khulna (11604),2007,8,32.69,26.78
Khulna (11604),2007,9,31.92,26.1
Khulna (11604),2007,10,31.84,24.13
Khulna (11604),2007,11,29.11,20.52
Khulna (11604),2007,12,25.66,14.36
Khulna (11604),2008,1,25.1,13.84
Khulna (11604),2008,2,26.76,15.26
Khulna (11604),2008,3,32.3,22.4
Khulna (11604),2008,4,34.97,24.5
Khulna (11604),2008,5,35.91,25.34
Khulna (11604),2008,6,32.73,26.21
Khulna (11604),2008,7,31.55,26.3
Khulna (11604),2008,8,32.35,26.61
Khulna (11604),2008,9,32.74,26.21
Khulna (11604),2008,10,31.77,23.8
Khulna (11604),2008,11,29.55,19.65
Khulna (11604),2008,12,26.07,16.39
Khulna (11604),2009,1,26.18,15.23
Khulna (11604),2009,2,29.79,16.91
Khulna (11604),2009,3,33.18,21.15
Khulna (11604),2009,4,36.52,25.59
Khulna (11604),2009,5,35.6,26
Khulna (11604),2009,6,34.86,26.94
Khulna (11604),2009,7,32.44,26.53
Khulna (11604),2009,8,32.65,26.26
Khulna (11604),2009,9,33.13,26.39
Khulna (11604),2009,10,32.4,23.6
Khulna (11604),2009,11,30.39,20.07
Khulna (11604),2009,12,26.19,14.23
Khulna (11604),2010,1,24.19,11.89
Khulna (11604),2010,2,29.36,16.57
Khulna (11604),2010,3,34.73,23.38
Khulna (11604),2010,4,36.11,26.87
Khulna (11604),2010,5,35.44,25.93
Khulna (11604),2010,6,34,26.61
Khulna (11604),2010,7,33.13,26.97
Khulna (11604),2010,8,33.3,27.03
Khulna (11604),2010,9,33.32,26.45
Khulna (11604),2010,10,32.48,24.96
Khulna (11604),2010,11,30.59,21.05
Khulna (11604),2010,12,26.06,14.31
Khulna (11604),2011,1,24.19,12
Khulna (11604),2011,2,28.99,16.18
Khulna (11604),2011,3,32.99,20.54
Khulna (11604),2011,4,34.42,23.47
Khulna (11604),2011,5,34.75,25.5
Khulna (11604),2011,6,33.48,26.49
Khulna (11604),2011,7,32.64,26.54
Khulna (11604),2011,8,31.4,26.2
Khulna (11604),2011,9,31.99,25.94
Khulna (11604),2011,10,33.36,25.24
Khulna (11604),2011,11,30.3,19.36
Khulna (11604),2011,12,25.11,14.75
Khulna (11604),2012,1,24.32,14.32
Khulna (11604),2012,2,29.07,15.57
Khulna (11604),2012,3,33.93,21.99
Khulna (11604),2012,4,35.3,24.34
Khulna (11604),2012,5,36.71,26.4
Khulna (11604),2012,6,35.3,27.71
Khulna (11604),2012,7,32.64,26.67
Khulna (11604),2012,8,32.82,26.66
